[2026-04-04T13:27:44.958+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-04-04T13:27:44.993+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: working_operators_example.trigger_report_dag manual__2026-04-04T13:26:42.232563+00:00 [queued]>
[2026-04-04T13:27:45.006+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: working_operators_example.trigger_report_dag manual__2026-04-04T13:26:42.232563+00:00 [queued]>
[2026-04-04T13:27:45.007+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2026-04-04T13:27:45.023+0000] {taskinstance.py:2890} INFO - Executing <Task(TriggerDagRunOperator): trigger_report_dag> on 2026-04-04 13:26:42.232563+00:00
[2026-04-04T13:27:45.039+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'working_operators_example', 'trigger_report_dag', 'manual__2026-04-04T13:26:42.232563+00:00', '--job-id', '28', '--raw', '--subdir', 'DAGS_FOLDER/operators_example.py', '--cfg-path', '/tmp/tmpa8ynuw_k']
[2026-04-04T13:27:45.041+0000] {standard_task_runner.py:105} INFO - Job 28: Subtask trigger_report_dag
[2026-04-04T13:27:45.042+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1807) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-04-04T13:27:45.042+0000] {standard_task_runner.py:72} INFO - Started process 1808 to run task
[2026-04-04T13:27:45.103+0000] {task_command.py:467} INFO - Running <TaskInstance: working_operators_example.trigger_report_dag manual__2026-04-04T13:26:42.232563+00:00 [running]> on host da731042e3a5
[2026-04-04T13:27:45.213+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='nurgun' AIRFLOW_CTX_DAG_ID='working_operators_example' AIRFLOW_CTX_TASK_ID='trigger_report_dag' AIRFLOW_CTX_EXECUTION_DATE='2026-04-04T13:26:42.232563+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-04-04T13:26:42.232563+00:00'
[2026-04-04T13:27:45.214+0000] {taskinstance.py:732} INFO - ::endgroup::
[2026-04-04T13:27:48.998+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:175 SyntaxWarning: invalid escape sequence '\d'
[2026-04-04T13:27:49.000+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:222 SyntaxWarning: invalid escape sequence '\d'
[2026-04-04T13:27:49.003+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1151 SyntaxWarning: invalid escape sequence '\d'
[2026-04-04T13:27:49.003+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1248 SyntaxWarning: invalid escape sequence '\d'
[2026-04-04T13:27:49.004+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1271 SyntaxWarning: invalid escape sequence '\d'
[2026-04-04T13:27:49.005+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1406 SyntaxWarning: invalid escape sequence '\d'
[2026-04-04T13:27:49.006+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1439 SyntaxWarning: invalid escape sequence '\d'
[2026-04-04T13:27:49.007+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1495 SyntaxWarning: invalid escape sequence '\d'
[2026-04-04T13:27:49.008+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1683 SyntaxWarning: invalid escape sequence '\d'
[2026-04-04T13:27:49.008+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1750 SyntaxWarning: invalid escape sequence '\d'
[2026-04-04T13:27:49.010+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:2025 SyntaxWarning: invalid escape sequence '\d'
[2026-04-04T13:27:49.011+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:2110 SyntaxWarning: invalid escape sequence '\d'
