transaction_id,card_id,amount,currency,merchant_category,transaction_date
T001,K001,10,AZN,Food,2025-01-01
T002,K002,25,AZN,Shopping,2025-01-01
T003,K001,10,AZN,Food,2025-01-01
T004,K005,1500,AZN,Entertainment,2025-01-02
T005,K004,45,AZN,Supermarket,2025-01-02
T006,K002,120,AZN,Electronics,2025-01-02
T007,K002,75,AZN,Shopping,2025-01-03
T008,K001,90,AZN,Supermarket,2025-01-03
T009,K004,500,AZN,Cafe,2025-01-03
T010,K005,60,AZN,Food,2025-01-04
T011,K001,15,AZN,Cafe,2025-01-04
T012,K002,25,AZN,Pharmacy,2025-01-04
T013,K003,35,AZN,Food,2025-01-05
T014,K003,20,AZN,Entertainment,2025-01-05
T015,K002,35,AZN,Transport,2025-01-05
T016,K005,45,AZN,Food,2025-01-06
T017,K001,75,AZN,Cafe,2025-01-06
T018,K002,800,AZN,Pharmacy,2025-01-06
T019,K004,150,AZN,Electronics,2025-01-07
T020,K002,500,AZN,Shopping,2025-01-07
T021,K005,110,AZN,Electronics,2025-01-07
T022,K005,200,AZN,Cafe,2025-01-08
T023,K002,35,AZN,Shopping,2025-01-08
T024,K004,1500,AZN,Entertainment,2025-01-08
T025,K001,25,AZN,Gas,2025-01-09
T026,K001,60,AZN,Pharmacy,2025-01-09
T027,K001,50,AZN,Entertainment,2025-01-09
T028,K001,60,AZN,Electronics,2025-01-10
T029,K003,35,AZN,Gas,2025-01-10
T030,K004,10,AZN,Transport,2025-01-10
T031,K002,15,AZN,Cafe,2025-01-11
T032,K004,20,AZN,Electronics,2025-01-11
T033,K004,500,AZN,Entertainment,2025-01-11
T034,K005,120,AZN,Transport,2025-01-12
T035,K004,90,AZN,Cafe,2025-01-12
T036,K002,45,AZN,Supermarket,2025-01-12
T037,K005,500,AZN,Supermarket,2025-01-13
T038,K001,15,AZN,Supermarket,2025-01-13
T039,K003,20,AZN,Transport,2025-01-13
T040,K004,40,AZN,Pharmacy,2025-01-14
T041,K002,200,AZN,Cafe,2025-01-14
T042,K001,120,AZN,Shopping,2025-01-14
T043,K004,15,AZN,Shopping,2025-01-15
T044,K003,25,AZN,Food,2025-01-15
T045,K005,150,AZN,Electronics,2025-01-15
T046,K003,150,AZN,Pharmacy,2025-01-16
T047,K005,25,AZN,Cafe,2025-01-16
T048,K002,35,AZN,Pharmacy,2025-01-16
T049,K002,110,AZN,Shopping,2025-01-17
T050,K001,110,AZN,Transport,2025-01-17
T051,K004,500,AZN,Food,2025-01-17
T052,K003,40,AZN,Gas,2025-01-18
T053,K001,15,AZN,Entertainment,2025-01-18
T054,K005,35,AZN,Electronics,2025-01-18
T055,K001,1500,AZN,Shopping,2025-01-19
T056,K001,800,AZN,Cafe,2025-01-19
T057,K004,800,AZN,Transport,2025-01-19
T058,K002,75,AZN,Shopping,2025-01-20
T059,K002,60,AZN,Cafe,2025-01-20
T060,K001,150,AZN,Cafe,2025-01-20
